Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
George McCrae,indie (Origen: Rock),Canción,Rock Your Baby,2010,6pMHMzwTsWIxLigr54GGVm,1Vmgke5bm1op8mUnbvd6wY,The Singles 1974 - 76,2010,George McCrae,"George McCrae (born October 19, 1944) is a Soul and Disco singer. McCrae was born in West Palm Beach, Florida. He formed his own singing group, the Jivin' Jets, before joining the United States Navy in 1963. Four years later, he reformed the group, with his wife Gwen joining the line-up, but soon afterwards they decided to work as a duo, recording for Henry Stone's Alston record label. Gwen then won a solo contract, with George acting as her manager as well as doing some singing on sessions and in clubs. <a href=""https://www.last.fm/music/George+McCrae"">Read more on Last.fm</a>",1778396,327827
Falco,indie (Origen: Rock),Canción,Rock Me Amadeus,2010,0wbdaBHi8t5e7EqXV88nka,4nZCwWIMMiHsRbGIVv28eU,Falco 3 25th Anniversary Edition,2010,Falco,"Johann ""Hans"" Hölzel (19 February 1957 – 6 February 1998), better known by his stage name Falco (from Falko Weißpflog), was an Austrian singer and musician. He had several international hits, including ""Der Kommissar"" (1981), ""Rock Me Amadeus"", ""Vienna Calling"", ""Jeanny"", ""The Sound of Musik"", ""Coming Home (Jeanny Part II, One Year Later)"", and posthumously ""Out of the Dark"".

""Rock Me Amadeus"" reached No. 1 on the Billboard charts in 1986, making <a href=""https://www.last.fm/music/Falco"">Read more on Last.fm</a>",12253508,825122
Skrillex,indie (Origen: Rock),Canción,Rock 'n' Roll (Will Take You to the Mountain),2010,6TbYnMMWfdUZXQm6tZ6vib,6HbNEBza64W10MQxUFq6QL,Scary Monsters and Nice Sprites (Deluxe Tour Edition),2010,Skrillex,"Skrillex is the pseudonym used by Los Angeles, California, USA musician Sonny Moore to differentiate his electronic solo work from his work with From First to Last and his other solo projects. 

As Skrillex, Moore is an electronic DJ and producer boasting a musical style that incorporates electro house, fidget house, and brostep. Moore began producing and performing under the alias Skrillex at clubs in the Los Angeles area in 2008.  

Throughout 2010, Skrillex became a bigger and bigger part of Moore’s life. <a href=""https://www.last.fm/music/Skrillex"">Read more on Last.fm</a>",103600021,2888835
Far East Movement,indie (Origen: Rock),Canción,Rocketeer,2010,3ZuiIFm9nRnkRz8AZAekjJ,4axgysRjIB7ToC0DA7uxXC,Free Wired,2010,Far East Movement,"The Far East Movement (also known as FM), hailing from the clubs and streets of Los Angeles, California, United States, are one of the freshest crews representing the next generation of artists and “fly music.” Members Kev Nish, Prohgress, J-Splif, and DJ Virman have created a huge industry buzz with major companies, radio stations, and club DJs worldwide through their international appeal and energetic live shows. 

Finding their inspiration from the diverse city blocks and night club scene of Southern California <a href=""https://www.last.fm/music/Far+East+Movement"">Read more on Last.fm</a>",23751331,2121401
Deftones,indie (Origen: Rock),Canción,Rocket Skates,2010,6Q7POvDeFGVFDYPmz7huYP,1GjjBpY2iDwSQs5bykQI5e,Diamond Eyes,2010,Deftones,"Deftones is an American metal band from Sacramento, California, formed in 1988, consisting of Chino Moreno (lead vocals and guitar), Stephen Carpenter (guitar), Frank Delgado (keyboards and turntables), and Abe Cunningham (drums and percussion). Vega (formerly of Quicksand) took on bass duties from mid-2009 to ca. 2021 in substitution for Chi Cheng, who was seriously injured in an automobile accident in Santa Clara, California on November 4, 2008. <a href=""https://www.last.fm/music/Deftones"">Read more on Last.fm</a>",522310508,4046819
The High Kings,indie (Origen: Rock),Canción,The Rocky Road to Dublin,2010,07HkevwkwmCXWjQhgBei1V,7D5xUGsOC4j2B4a58iQFJh,The High Kings,2010,The High Kings,"The High Kings is an Irish ballad group formed by the same creators as Celtic Woman. Finbarr Clancy, Brian Dunphy, Martin Furey, and Darren Holden make up the group.  <a href=""https://www.last.fm/music/The+High+Kings"">Read more on Last.fm</a>",2363002,155601
Linkin Park,indie (Origen: Rock),Canción,Iridescent,2010,69ZEgPX0hxWXJIqkTlYz41,5uvXx5ZQswNRFCdHR521YZ,A Thousand Suns,2010,Linkin Park,"Linkin Park is an American alternative rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>",698502200,6731076
Falco,indie (Origen: Rock),Canción,Rock Me Amadeus,2010,4pEXlAqaJXQUKDteKRLun9,68NAVoAetddiH0ZJzU6Zhs,Falco 3 25th Anniversary Edition,2010,Falco,"Johann ""Hans"" Hölzel (19 February 1957 – 6 February 1998), better known by his stage name Falco (from Falko Weißpflog), was an Austrian singer and musician. He had several international hits, including ""Der Kommissar"" (1981), ""Rock Me Amadeus"", ""Vienna Calling"", ""Jeanny"", ""The Sound of Musik"", ""Coming Home (Jeanny Part II, One Year Later)"", and posthumously ""Out of the Dark"".

""Rock Me Amadeus"" reached No. 1 on the Billboard charts in 1986, making <a href=""https://www.last.fm/music/Falco"">Read more on Last.fm</a>",12253508,825122
Robbie Williams,indie (Origen: Rock),Canción,Rock DJ - 2004 Mix,2010,0lJEYLAJU5KtthQroas2ou,3KnJzJIjhNYr7G1VErTLH3,In And Out Of Consciousness: Greatest Hits 1990 - 2010,2010,Robbie Williams,"Robert Peter Williams (born 13 February 1974) is an English singer and songwriter. He found fame as a member of the pop group Take That from 1990 to 1995, and achieved commercial success after launching a solo career in 1996. His debut studio album, Life thru a Lens, was released in 1997, and included his signature song, ""Angels"". His second album, I've Been Expecting You, featured the songs ""Millennium"" and ""She's the One"", his first number one singles. <a href=""https://www.last.fm/music/Robbie+Williams"">Read more on Last.fm</a>",70084347,2783172
Apocalyptica,indie (Origen: Rock),Canción,Not Strong Enough,2010,6BD9XMxKnjL6dCJbxXAPUa,5I3AYgFwAzIQlYM2XImPfb,7th Symphony,2010,Apocalyptica,"Apocalyptica is a band from Helsinki, Finland consisting of three classically-trained cellists and a drummer. Their speciality is heavy metal music on cellos, though they also play classical music.

They started in 1993 by playing covers of Metallica, but once the concept became popular they wrote their own original works, maintaining the thrash metal influences on their albums Inquisition Symphony (mainly covers as well) and Cult. Since Reflections they have added drums to their recordings and live performances. <a href=""https://www.last.fm/music/Apocalyptica"">Read more on Last.fm</a>",69489854,1619941
