Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Bryce Janey,funk (Origen: funk),Canción,Funky Guitar Blues,2010,2dqkDzJPwSIduZlKJh0lvB,1ULW18kqQ47Qp3YUATkvFQ,42,Blues In My Soul,2010,Bryce Janey,"Bryce Janey began his career at age thirteen in a blues trio called “The Janeys.” His mother on drums and his father BillyLee on guitar. The Janey’s played regionally and nationally from Chicago to Los Angeles. Between 1991 and 1993 they performed with over 50 national acts including. 
After the Janey’s achieved some regional success, Bryce began a solo career and released his first CD in 1995. He has released three additional CD’s since 1996. <a href=""https://www.last.fm/music/Bryce+Janey"">Read more on Last.fm</a>",142353,25748
Funky Bijou,funk (Origen: funk),Canción,Funky Bijou Anthem,2010,3vqJENUjIAwBiWs5zVLWha,4ieRodIyGcBr9uU20D2MQU,35,Funky Bijou,2010,Funky Bijou," <a href=""https://www.last.fm/music/Funky+Bijou"">Read more on Last.fm</a>",56316,8626
Kasír,funk (Origen: funk),Canción,The Funky Spider,2010,5LXgUQ5VRmm7PsVBTnQyOn,6tZRWMS69RdXXvcuSC0ILj,34,Chilling on a Sunday,2010,Kasír,"Kasír are a young Danish trio, who play Irish folk music, both traditional tunes, and their own compositions. Composes of, Oisín Walsh, (1987), bodhrán, Rune Cygan Barslund, (1988), accordion and whistles and Aske Fuglsang Ruhe, (1989), guitar, mandolin and octave mandolin.


 <a href=""https://www.last.fm/music/Kas%C3%ADr"">Read more on Last.fm</a>",66571,11027
La Discothèque,funk (Origen: funk),Canción,Funkytown,2010,3fehLpIWjlE3YnTXRkqPN1,6CXNfnJUwEHFYUaiUNmeby,34,"La Discothèque, Vol. 2",2010,La Discothèque," <a href=""https://www.last.fm/music/La+discoth%C3%A8que"">Read more on Last.fm</a>",14002,4609
Tom Browne,funk (Origen: funk),Canción,Funkin' for Jamaica,2010,1es1B258zAVeXx6uzksrJd,34psLr9vLAgw49ehAgo6SJ,28,The Best Year Of My Life: 1981G010004775674D,2010,Various Artists,"Tom Browne (born October 30, 1954, Queens, New York), commonly referred to as ""Mr. Jamaica Funk"", is a jazz trumpeter who rose to prominence first through his early work with Sonny Fortune and for his #1 charting 1980 single ""Funkin' For Jamaica (N.Y)"" and notable dance tracks like ""Thighs High"". 

Browne originally played piano, having taken lessons from the age of 11. Turning to the trumpet, inspired by his collection of jazz albums, his first gig was in a Queens club, The Village Door. <a href=""https://www.last.fm/music/Tom+Browne"">Read more on Last.fm</a>",828300,173816
The Sequence,funk (Origen: funk),Canción,Funk You Up (12'' Version),2010,0IPMwsreFCYEYvzsvolNMf,5zxoU8Y4gWUyNcRLjknWky,23,A Complete Introduction to Sugar Hill Records,2010,Various Artists,"""The Sequence"" can refer to either a 1980's hip hop/funk group or a modern pop-rock band from southern California.

(1) The Sequence was an all-female old school hip hop/funk trio signed to the Sugar Hill label in the early 1980s. The group consisted of Cheryl (Cheryl The Pearl) Cook, Gwendolyn (Blondie) Chisolm, and lead singer/rapper Angie Stone, who subsequently became a member of Vertical Hold and later a solo artist.

(2) The Sequence consists of Travis Van Hoff (vocals), Jason Yata (Guitar), Brandon Dennis (Drums), and Kevin (Bass). <a href=""https://www.last.fm/music/The+Sequence"">Read more on Last.fm</a>",138613,23294
The Funky Town,funk (Origen: funk),Canción,Funky Town - 80's Mix,2010,19fsi2eY2FehBaIWb6IQYT,7MlkH4VAR03h19qaTVMFjn,23,"ReCovered Hits, Vol. 2",2010,Various Artists," <a href=""https://www.last.fm/music/The+Funky+town"">Read more on Last.fm</a>",5346,1521
Mr. Talkbox,funk (Origen: funk),Canción,Funkadelic Sound,2010,4Nh2oQHhRcVy16qYbRQ2Fw,0m5koUYDRGH9y53Kv9v9kV,26,My Time,2010,Mr. Talkbox," <a href=""https://www.last.fm/music/Mr.+Talkbox"">Read more on Last.fm</a>",31243,5806
D-Vision,funk (Origen: funk),Canción,Funky,2010,1W5ZHOVTpMavbqI3h85PRJ,482iqNPFAU1tZnQwLHTNr9,30,Funky,2010,D-Vision," <a href=""https://www.last.fm/music/D-vision"">Read more on Last.fm</a>",14239,2707
Maxipaul,funk (Origen: funk),Canción,Funk (Klubbed Mix),2010,5unrlCzR2G5A2O3Mpiw6mS,1e6kxyfq7sQkg4naSIPEXm,7,"Non - The History - Sesion Bumpin & Dance (Dj Gordy, Carlos Revuelta, Elias Dj, Dj Blod)",2010,Various Artists," <a href=""https://www.last.fm/music/Maxipaul"">Read more on Last.fm</a>",1209,307
