Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Biografia_Resumen_x,Playcount_LastFM_x,Listeners_LastFM_x,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
Quantic,jazz (Origen: jazz),Canción,Cumbia Sobre El Mar,2010,61muv9lHtgN18qbm9oK9pH,0NiH3ROfMf9ZGYj07RP0B0,"Quantic is an umbrella name for UK-born, Will Holland: acclaimed producer, musician and DJ for over 15 years evolving and involving styles like Funk & Jazz to Electronic & Folk music through to Latin, Reggae, Dub & Cumbia. Holland has released over ten full-length albums internationally through the label, Tru Thoughts, ...across six different projects ranging from his DJ/Producer/Remixer moniker that has packed dance floors from Bulgaria to Buenos Aires <a href=""https://www.last.fm/music/Quantic"">Read more on Last.fm</a>",15222710,914981,"Quantic is an umbrella name for UK-born, Will Holland: acclaimed producer, musician and DJ for over 15 years evolving and involving styles like Funk & Jazz to Electronic & Folk music through to Latin, Reggae, Dub & Cumbia. Holland has released over ten full-length albums internationally through the label, Tru Thoughts, ...across six different projects ranging from his DJ/Producer/Remixer moniker that has packed dance floors from Bulgaria to Buenos Aires <a href=""https://www.last.fm/music/Quantic"">Read more on Last.fm</a>",15224412,915086
Alessandro Alessandroni,jazz (Origen: jazz),Canción,Jazz Whistler,2010,2eO48qUibU8IAM4tR51mrV,5LKhJ089woBuOf9e3eRzHC,"Alessandro Alessandroni (18 March 1925 – 26 March 2017) was an Italian musician. He played multiple instruments, including the guitar, mandolin, mandolincello, sitar, accordion, and piano, and has composed over 40 film scores and countless library music.

Being an accomplished whistler, Alessandroni collaborated with his childhood friend Ennio Morricone on a number of soundtracks for Spaghetti westerns. Morricone's orchestration often calls for an unusual combination of instruments and voices. <a href=""https://www.last.fm/music/Alessandro+Alessandroni"">Read more on Last.fm</a>",2064874,254186,"Alessandro Alessandroni (18 March 1925 – 26 March 2017) was an Italian musician. He played multiple instruments, including the guitar, mandolin, mandolincello, sitar, accordion, and piano, and has composed over 40 film scores and countless library music.

Being an accomplished whistler, Alessandroni collaborated with his childhood friend Ennio Morricone on a number of soundtracks for Spaghetti westerns. Morricone's orchestration often calls for an unusual combination of instruments and voices. <a href=""https://www.last.fm/music/Alessandro+Alessandroni"">Read more on Last.fm</a>",2066256,254283
Bop Alloy,jazz (Origen: jazz),Canción,Jazzmatic,2010,1cDM4wL3FKPO4JpK3YNiWT,6X8ohJVWti6xDto1k9mFlO,"The term ""purist"" has no place in music, since one genre often influences, or gives birth to, another genre every few years. Jazz purists are sometimes displeased with the genre being sampled by Hip-Hop artists, but no one can argue with the fusion inspiring a new generation of Jazz enthusiasts. 

Bop Alloy — comprised of Baltimore, Maryland emcee Substantial and Seattle, Washington producer Marcus D — is the name that best describes the brand <a href=""https://www.last.fm/music/Bop+Alloy"">Read more on Last.fm</a>",450057,29635,"The term ""purist"" has no place in music, since one genre often influences, or gives birth to, another genre every few years. Jazz purists are sometimes displeased with the genre being sampled by Hip-Hop artists, but no one can argue with the fusion inspiring a new generation of Jazz enthusiasts. 

Bop Alloy — comprised of Baltimore, Maryland emcee Substantial and Seattle, Washington producer Marcus D — is the name that best describes the brand <a href=""https://www.last.fm/music/Bop+Alloy"">Read more on Last.fm</a>",450371,29664
Caro Emerald,jazz (Origen: jazz),Canción,A Night Like This,2010,7nuBU1HCcOwG5f1orN4ByW,7KYgUgJTrsxT4gkHRALi3R,"Caro Emerald (real name: Caroline Esmeralda van der Leeuw, born 26 April 1981 in Amsterdam, The Netherlands) is a Dutch singer. She studied as a jazz vocalist at the Amsterdam conservatory of music and earned her degree in 2005.

Having gained experience as one of the six singers in close-harmony group Les Elles, and as a vocalist in the Philharmonic Funk Foundation, Emerald first gained public recognition for her debut solo single Back It Up, which was officially released by Grandmono Records on July 6, 2009. <a href=""https://www.last.fm/music/Caro+Emerald"">Read more on Last.fm</a>",9024331,483677,"Caro Emerald (real name: Caroline Esmeralda van der Leeuw, born 26 April 1981 in Amsterdam, The Netherlands) is a Dutch singer. She studied as a jazz vocalist at the Amsterdam conservatory of music and earned her degree in 2005.

Having gained experience as one of the six singers in close-harmony group Les Elles, and as a vocalist in the Philharmonic Funk Foundation, Emerald first gained public recognition for her debut solo single Back It Up, which was officially released by Grandmono Records on July 6, 2009. <a href=""https://www.last.fm/music/Caro+Emerald"">Read more on Last.fm</a>",9026530,483844
Sade,jazz (Origen: jazz),Canción,Soldier of Love,2010,0bgsj8kz5zWbQ6njk2Oqoz,3QzXOFN7Wh4WgilnraBYAU,"Sade (pronounced shah-day) is an English band formed in London in 1982, named after their lead singer, Sade Adu. Their music features elements of soul, quiet storm, smooth jazz and sophisti-pop. All of their albums, including compilations and a live album, have charted in the US Top Ten.

Three of their members were originally from Hull in the East Riding of Yorkshire. Sade was formed in 1982, when members of Latin soul band Pride — Sade Adu, (real name Helen Folasade Adu - born 16 January 1959 in Ibadan <a href=""https://www.last.fm/music/Sade"">Read more on Last.fm</a>",121276564,3201707,"Sade (pronounced shah-day) is an English band formed in London in 1982, named after their lead singer, Sade Adu. Their music features elements of soul, quiet storm, smooth jazz and sophisti-pop. All of their albums, including compilations and a live album, have charted in the US Top Ten.

Three of their members were originally from Hull in the East Riding of Yorkshire. Sade was formed in 1982, when members of Latin soul band Pride — Sade Adu, (real name Helen Folasade Adu - born 16 January 1959 in Ibadan <a href=""https://www.last.fm/music/Sade"">Read more on Last.fm</a>",121417518,3203525
Zaz,jazz (Origen: jazz),Canción,Les passants,2010,6x53YxdtkR2rGLptZCLgUx,6MuoqipFgorIZEYwGWEFAU,"Isabelle Geffroy, born 1 May 1980, known by the pseudonym ZAZ, is a singer from Tours, France, who blends the styles nu jazz, soul and acoustic in her music.

In 2001, she started her singing career in the blues band ""Fifty Fingers"". She sang in musical groups in Angoulême, especially in a jazz quintet. She became one of the four singers of Izar-Adatz (Shooting Star), a variety band which consisted of sixteen people with whom she toured for two years, especially in the Midi-Pyrenees and the Basque Country. <a href=""https://www.last.fm/music/Zaz"">Read more on Last.fm</a>",15989569,570035,"Isabelle Geffroy, born 1 May 1980, known by the pseudonym ZAZ, is a singer from Tours, France, who blends the styles nu jazz, soul and acoustic in her music.

In 2001, she started her singing career in the blues band ""Fifty Fingers"". She sang in musical groups in Angoulême, especially in a jazz quintet. She became one of the four singers of Izar-Adatz (Shooting Star), a variety band which consisted of sixteen people with whom she toured for two years, especially in the Midi-Pyrenees and the Basque Country. <a href=""https://www.last.fm/music/Zaz"">Read more on Last.fm</a>",15991403,570121
Jamiroquai,jazz (Origen: jazz),Canción,Blue Skies,2010,7AJYzLJSLtJzic79quUS0j,5mTP7Oivpq88d7ZQ9DBt4F,"Jamiroquai is an English funk and acid jazz band from London. Formed in 1992, they are fronted by vocalist Jay Kay, and were prominent in the London-based funk and acid jazz movement of the 1990s. They built on their acid jazz sound in their early releases and later drew from rock, disco, electronic and Latin music genres. Lyrically, the group has addressed social and environmental justice. Kay has remained as the only original member through several line-up changes. <a href=""https://www.last.fm/music/Jamiroquai"">Read more on Last.fm</a>",98854725,2769898,"Jamiroquai is an English funk and acid jazz band from London. Formed in 1992, they are fronted by vocalist Jay Kay, and were prominent in the London-based funk and acid jazz movement of the 1990s. They built on their acid jazz sound in their early releases and later drew from rock, disco, electronic and Latin music genres. Lyrically, the group has addressed social and environmental justice. Kay has remained as the only original member through several line-up changes. <a href=""https://www.last.fm/music/Jamiroquai"">Read more on Last.fm</a>",98902130,2770951
Celso Mendes,jazz (Origen: jazz),Canción,My Cherie Amour,2010,284jgvRrNPn0K1SDNo8PpD,1vnkrwV9RhAba4T15EZ5xw," <a href=""https://www.last.fm/music/Celso+Mendes"">Read more on Last.fm</a>",66358,14375,,,
Cyrille Aimee,jazz (Origen: jazz),Canción,Je Suis Seule Ce Soir,2010,0l5rSE550QrVceVHcBCiDM,4BsQtp94ehsK4YPTLx6SO3,"Jazz vocalist Cyrille Aimée (pronounced: ""Surreal Emmay"") has a culturally rich background -- Dominican and French, Gypsy -- and conservatory training (SUNY Purchase) that help to form the rhythmic and expressive foundation by which a jury of legendary vocalists including Al Jarreau, Kurt Elling, Dianne Reeves and Dee Dee Bridgewater judged her to be a finalist in the prestigious Thelonious Monk Vocal Competition in 2010. At the young age of twenty-six, Cyrille has since become one of the hottest young artists on the New York scene. <a href=""https://www.last.fm/music/Cyrille+Aimee"">Read more on Last.fm</a>",298620,55174,"Jazz vocalist Cyrille Aimée (pronounced: ""Surreal Emmay"") has a culturally rich background -- Dominican and French, Gypsy -- and conservatory training (SUNY Purchase) that help to form the rhythmic and expressive foundation by which a jury of legendary vocalists including Al Jarreau, Kurt Elling, Dianne Reeves and Dee Dee Bridgewater judged her to be a finalist in the prestigious Thelonious Monk Vocal Competition in 2010. At the young age of twenty-six, Cyrille has since become one of the hottest young artists on the New York scene. <a href=""https://www.last.fm/music/Cyrille+Aimee"">Read more on Last.fm</a>",298696,55184
Andrea Motis,jazz (Origen: jazz),Canción,L.O.V.E,2010,5ItAdspjz2H4JCy6RDVtIy,71PgNTbqjXofbYFOWoPFfC,"Catalan singer-trumpeter Andrea Motis has already been making waves in Europe for three years with her prodigious instrumental talent and sultry jazz voice. Andrea first started to attract attention as a prodigious trumpeter and saxophonist in the San Andreu Jazz Band, a youth collective organised by saxophonist Joan Chamorro. On discovering she could sing as well, Chamorro was impressed enough to launch her with a CD 'Joan Chamorro presenta Andrea Motis'. <a href=""https://www.last.fm/music/Andrea+Motis"">Read more on Last.fm</a>",309919,30390,"Catalan singer-trumpeter Andrea Motis has already been making waves in Europe for three years with her prodigious instrumental talent and sultry jazz voice. Andrea first started to attract attention as a prodigious trumpeter and saxophonist in the San Andreu Jazz Band, a youth collective organised by saxophonist Joan Chamorro. On discovering she could sing as well, Chamorro was impressed enough to launch her with a CD 'Joan Chamorro presenta Andrea Motis'. <a href=""https://www.last.fm/music/Andrea+Motis"">Read more on Last.fm</a>",309968,30397
