Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Biografia_Resumen_x,Listeners_LastFM_x,Playcount_LastFM_x,Artistas_Similares,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
Ursula 1000,funk (Origen: funk),Canción,Hey You!,2010,1teQc3NCYjq99tYTyiWWYO,2LVt2AhBDjQSL3S0aRS9DV,"Ursula 1000 is a lounge music project of DJ Alex Gimeno. Gimeno was born in Brooklyn, New York. During his childhood, he and his family moved to Miami Beach where his father, a musician, found steady work. He moved back to Brooklyn in the late 90s.

In his youth, Gimeno was exposed to 50s and 60s exotica, world music, bossa nova and merengue music that his parents listened to which deeply influenced him. He began collecting records as a teenager and in his own words ""never stopped"".",221429,2600137,"Soma Sonic, Rainstick Orchestra, Marsmobil, Zimpala, The Mighty Bop",,,
DJ Wady,funk (Origen: funk),Canción,Continuous DJ Mix,2010,4h6k6cymare6UJ2VA20el9,3fAvzRycbARKg6sV1fHZQ5,"DJ Wady Began his career in Colombia back in the early 90's. He is regarded as one of the first pioneers in the Colombian dance scene. He was born into a family full of musicians, from where he acquired his Latin flavor which he incorporates in many of his productions today. 

Today DJ Wady is part of the next generation of DJs and producers to take the electronic music world to a new level. His original productions and remixes have always reached the top of the selling charts, attracting the attention of some of the best DJs in the world.",12315,40265,"Jewel Kid, David Herrero, Chus & Ceballos, HausJacker, Rafa Barrios",,,
Mudbone,funk (Origen: funk),Canción,Carousel,2010,3xOamolG5SSaGwuawDr2TL,1yJeDMB7NgT7Bl365viVP5,"There are more than one artist that go by the name Mudbone. Two of them are mentioned below.

I. Gary “Mudbone” Cooper is one of music’s few true individuals. In today’s rigidly formatted times his career has been so astonishingly varied you couldn’t make it up. A starring vocalist with Parliament Funkadelic and co-founder of Bootsy’s Rubber Band; a collaborator with Prince, Herbie Hancock, Jack Bruce, Ginger Baker, Keith Richards, and",602,7433,"Chris Duarte Group, Charly Groove, Andre Foxxe, Val Watson, Belita Woods",,,
Di Paul,funk (Origen: funk),Canción,Rip It,2010,7vJ5hbmP4fMC1ZbsLsyXZQ,5aLl6Jo0LLZY2DOo3UGb8Y,,561,1662,"KRIS MENACE FEAT. EMIL, Superchumbo, D-Formation, Chus & Ceballos, Dario Nunez",,,
Art Neville,funk (Origen: funk),Canción,A Lover's Story,2010,72xgr6IGRujHO3G1wTBKp1,3v2MCcbzJGPau9T9ViBkwr,"Art Neville (Arthur Lanon Neville, New Orleans Louisiana , USA, December 17, 1937 – July 22, 2019) was an American singer, songwriter and keyboard player from New Orleans. 

Neville, part of one of the notable musical families of New Orleans, The Neville Brothers, was a founding member of The Meters, whose musical style represents New Orleans funk.
He also played with the spinoff group The Funky Meters.
Neville played on recordings by many notable artists from New Orleans and elsewhere",24897,97041,"Jessie Hill, Dave Bartholomew, Warren Lee, Benny Spellman, The Wild Magnolias",,,
Antonio Sorrentino,funk (Origen: funk),Canción,Tarantella Internazionale,2010,3DmA79HqWCwdBreBJ9zZIo,1t5R99nahzJXjTd13ROyYZ,,7685,31895,"Pellegrino, Eva Eva Eva, afrodesia, Masamasa, Auroro Borealo",,,
Roni,funk (Origen: funk),Canción,Me In My Cell,2010,21R6kZnBRdt2Xo6D5kYPqN,3kVplATWL59Faawte1yVrD,"There are several artists known as 'Roni':
- a female Israeli pop singer
- a female singer-songwriter from USA
- several male Kurdish folk singers (Hozan Ronî)
- South Korean male singer

1) Roni aka Roni Duani (רוני דואני born March 10, 1986 in Rishon Lezion, Israel) - she is an Israeli pop singer, children’s television show host and a fashion model.
Roni gained recognition in 2003 with her debut album The World Outside My Door which included the hit single ""Superstar"".",8243,155953,"Maya Avraham, אמיר פיי גוטמן, שירי מימון, קרן פלס, נינט טייב",,,
Lil Sin,funk (Origen: funk),Canción,Feelin So Fine,2010,3UqQvlqqAnd7ZS7iRBWqei,5UuOkxu9LBfELtXticUYnK,,173,2421,"One Gud Cide, Rappin' Ron & Ant Diddley Dog, D of Trinity Garden Cartel, Klondike Kat, 811 & Ph.D",,,
"Ernie and The Top Notes, Inc.",funk (Origen: funk),Canción,Just A Little Bit,2010,4MPB8JiWnfXgd3mvjZaVE1,0twe7YjMxsBncxZuGR1j1z,"Considered by most to be the pioneer in what we know today as funk music, Ernie Vincent grew up like many a southern Louisiana child – entrenched in rich musical tradition. His early years were spent playing the guitar, honing his craft with lessons from family, friends, and neighbors .

The early 1970s were met with unequivocal notoriety when Ernie formed the Top Notes - a group who carved a place in music history with their production of the funk anthem “Dap Walk.”",7383,25012,"The Explosions, Lee Dorsey & Betty Harris, Marilyn Barbarin, Gentleman June Gardner, Chuck Carbo",,,
Franck Roger,funk (Origen: funk),Canción,Can You Dig It ? - Beat-a-Pella,2010,3dKaqQPEJveQz8brlfGZfn,3lWjdakZlFNrjf9R5fUVLd,"DJ since 13 years now and producer since 7 years Franck Roger has fully understood that making music and spread
worldwide the House Music message is the most important thing in his life...

Indeed, Franck has multiplied the releases on labels as prestigious and well respected on the international scene as Kenlou (Kenny Dope and Louie Vega / USA) Versatile (Dj Gilb'r / France), Crash (Dino & Terry / Canada), Flowers (Japan), Needs (Germany), BBE (UK), Defected rds, Sole Channel, King Street,Especial (Japan), Spacekat (UK).",37681,169390,"Fred Everything, DJ Steaw, Sebb Junior, Demarkus Lewis, Jovonn","DJ since 13 years now and producer since 7 years Franck Roger has fully understood that making music and spread
worldwide the House Music message is the most important thing in his life...

Indeed, Franck has multiplied the releases on labels as prestigious and well respected on the international scene as Kenlou (Kenny Dope and Louie Vega / USA) Versatile (Dj Gilb'r / France), Crash (Dino & Terry / Canada), Flowers (Japan), Needs (Germany), BBE (UK), Defected rds, Sole Channel, King Street,Especial (Japan), Spacekat (UK). <a href=""https://www.last.fm/music/Franck+Roger"">Read more on Last.fm</a>",169390,37681
