Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen_x,Playcount_LastFM_x,Listeners_LastFM_x,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
David Guetta,Latin (Origen: pop),Canción,Who's That Chick? (feat. Rihanna),2010,7e1h7rqNB0BBC2fUuWEEFe,7fHeCs5cgtXYqxBPG1iK1n,One More Love,2010,David Guetta,"Pierre David Guetta is a French DJ and music producer. He has sold over 10 million albums and 65 million singles globally, with more than 14 billion streams. In 2011, 2020, and 2021, Guetta was voted the number one DJ in the DJ Mag Top 100 DJs poll. In 2013, Billboard crowned ""When Love Takes Over"" as the number-one dance-pop collaboration of all time, with singer Kelly Rowland.

He released his first album, Just a Little More Love, in 2002. Later, he released Guetta Blaster (2004) and Pop Life (2007). <a href=""https://www.last.fm/music/David+Guetta"">Read more on Last.fm</a>",179435795,5044103,"Pierre David Guetta is a French DJ and music producer. He has sold over 10 million albums and 65 million singles globally, with more than 14 billion streams. In 2011, 2020, and 2021, Guetta was voted the number one DJ in the DJ Mag Top 100 DJs poll. In 2013, Billboard crowned ""When Love Takes Over"" as the number-one dance-pop collaboration of all time, with singer Kelly Rowland.

He released his first album, Just a Little More Love, in 2002. Later, he released Guetta Blaster (2004) and Pop Life (2007). <a href=""https://www.last.fm/music/David+Guetta"">Read more on Last.fm</a>",179690099,5049639
Camila,Latin (Origen: pop),Canción,De Qué Me Sirve la Vida,2010,3YHGqAHprVEArAxLzaBE6O,0MPMiyavAbARflBlNGjIA6,Dejarte De Amar,2010,Camila,"There are 2 artists that perform under the name ""Camila"":

1. A Mexican soft rock group.
2. An English speaking VTuber.

1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",10352194,491730,"There are 2 artists that perform under the name ""Camila"":

1. A Mexican soft rock group.
2. An English speaking VTuber.

1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",10374095,492411
Billy Ocean,Latin (Origen: pop),Canción,Caribbean Queen (No More Love On the Run),2010,4JEylZNW8SbO4zUyfVrpb7,7n4OT3zEZaEiyKKd6mFAhi,The Very Best of Billy Ocean,2010,Billy Ocean,"Billy Ocean (born Leslie Sebastian Charles, 21 January 1950, Fyzabad, Trinidad) is a Grammy Award-winning British popular music performer who had a string of rhythm and blues-tinged international pop hits in the 1970s and 1980s. He was the main British R&B singer / songwriter of the 1980s. He waited seven years after scoring his first four UK top 20 successes, before accumulating a series of transatlantic successes, including three U.S. number ones. <a href=""https://www.last.fm/music/Billy+Ocean"">Read more on Last.fm</a>",8634944,950840,"Billy Ocean (born Leslie Sebastian Charles, 21 January 1950, Fyzabad, Trinidad) is a Grammy Award-winning British popular music performer who had a string of rhythm and blues-tinged international pop hits in the 1970s and 1980s. He was the main British R&B singer / songwriter of the 1980s. He waited seven years after scoring his first four UK top 20 successes, before accumulating a series of transatlantic successes, including three U.S. number ones. <a href=""https://www.last.fm/music/Billy+Ocean"">Read more on Last.fm</a>",8647113,951722
Joey Montana,Latin (Origen: pop),Canción,La Melodía,2010,2sH1DIngiSA8EQfkcQXpBq,10BqbyvQvltaEwWr9I67l8,Flow Con Clase,2010,Joey Montana,"Joey Montana is one of the hottest newe stars of Latin music. At 23 years of age, he has broken ground in Central and South America, Mexico, the United States and Europe. Armed with his lyrical abilities and explosive personality, he is looking to make a name for himself in the ever so popular and growing urban/Latino market, leaving behind his former group of ""La Factoria"". 

His real name is Edgardo Antonio Miranda Beiro, and he was born in Panama City, Panama; on May 3rd, 1982. <a href=""https://www.last.fm/music/Joey+Montana"">Read more on Last.fm</a>",1166385,151570,"Joey Montana is one of the hottest newe stars of Latin music. At 23 years of age, he has broken ground in Central and South America, Mexico, the United States and Europe. Armed with his lyrical abilities and explosive personality, he is looking to make a name for himself in the ever so popular and growing urban/Latino market, leaving behind his former group of ""La Factoria"". 

His real name is Edgardo Antonio Miranda Beiro, and he was born in Panama City, Panama; on May 3rd, 1982. <a href=""https://www.last.fm/music/Joey+Montana"">Read more on Last.fm</a>",1168751,151812
Lady A,Latin (Origen: pop),Canción,Need You Now,2010,7GAaTpSoTWUTbP2Yxlt4Hd,5RypFF6rN9MUxFe4aAWA28,Need You Now,2010,Lady A,"lady antebelum <a href=""https://www.last.fm/music/+noredirect/Lady+A"">Read more on Last.fm</a>",8644672,652788,"lady antebelum <a href=""https://www.last.fm/music/+noredirect/Lady+A"">Read more on Last.fm</a>",8680613,654908
Canelita,Latin (Origen: pop),Canción,Baila Reggaeton,2010,0NDEWNVvRd8V9qVWOgBWHb,5CUsVkmvLwlnf6VTRZvqqH,Vuelvo,2010,Canelita,"Canelita (born Jonathan Vera in 1990) is a Spanish flamenco singer. He hails from the barrio of Bajadilla, in Algeciras, southeastern Spain. He was discovered by another native of Algeciras, Paco de Lucia, when he was a boy and began recording as a teenager, with early releases such as Vivo Errante (2004) and Canelita por mi calle (2005). His album, Vuelvo, released in November 2010, alternates traditional flamenco singing ballads and pop tunes, seeking to reach a mass audience. <a href=""https://www.last.fm/music/Canelita"">Read more on Last.fm</a>",234613,21043,"Canelita (born Jonathan Vera in 1990) is a Spanish flamenco singer. He hails from the barrio of Bajadilla, in Algeciras, southeastern Spain. He was discovered by another native of Algeciras, Paco de Lucia, when he was a boy and began recording as a teenager, with early releases such as Vivo Errante (2004) and Canelita por mi calle (2005). His album, Vuelvo, released in November 2010, alternates traditional flamenco singing ballads and pop tunes, seeking to reach a mass audience. <a href=""https://www.last.fm/music/Canelita"">Read more on Last.fm</a>",235139,21084
The Irrepressibles,Latin (Origen: pop),Canción,In This Shirt,2010,14QX1ckbDIhqetvu5VZ3cP,6AOnHGR6Adnmi4FyR3UK6e,Mirror Mirror,2010,The Irrepressibles,"The Irrepressibles is an art-pop collective founded and led by composer and musician Jamie McDermott from the United Kingdom. Created in 2003, the band have released two full studio albums to date and 5 EPs, with a further 6th slated for release in 2014.

On the January 11, 2010, The Irrepressibles released their debut studio album, Mirror Mirror, a collection of 12 baroque pop songs produced by Dimitri Tikovoi and William Turner Duffin, and written by Jamie McDermott. <a href=""https://www.last.fm/music/The+Irrepressibles"">Read more on Last.fm</a>",5738548,408011,"The Irrepressibles is an art-pop collective founded and led by composer and musician Jamie McDermott from the United Kingdom. Created in 2003, the band have released two full studio albums to date and 5 EPs, with a further 6th slated for release in 2014.

On the January 11, 2010, The Irrepressibles released their debut studio album, Mirror Mirror, a collection of 12 baroque pop songs produced by Dimitri Tikovoi and William Turner Duffin, and written by Jamie McDermott. <a href=""https://www.last.fm/music/The+Irrepressibles"">Read more on Last.fm</a>",5745956,408618
IZAL,Latin (Origen: pop),Canción,Eco,2010,4Bk5Q65UbeAShxoQmddBYR,6i0Twqpwao7f4jasg9FQVU,Teletransporte,2010,IZAL,"In 2010, with more than 10 years of experience behind them, five musicians came together to form IZAL. A band made up of Mikel Izal (vocals, composer, guitar, ukulele), Emanuel Pérez “Gato” (bass), Alejandro Jordá (drums and percussion), Alberto Pérez (guitar, Lap Steel) and Iván Mella (piano, keyboards, synthesizers ). Coming from different geographical locations, Madrid became their ""base"" of operations, which is why the name ""Madrid band"" has been highly honored since its inception, despite not being originally from the capital. <a href=""https://www.last.fm/music/Izal"">Read more on Last.fm</a>",2988386,64869,"In 2010, with more than 10 years of experience behind them, five musicians came together to form IZAL. A band made up of Mikel Izal (vocals, composer, guitar, ukulele), Emanuel Pérez “Gato” (bass), Alejandro Jordá (drums and percussion), Alberto Pérez (guitar, Lap Steel) and Iván Mella (piano, keyboards, synthesizers ). Coming from different geographical locations, Madrid became their ""base"" of operations, which is why the name ""Madrid band"" has been highly honored since its inception, despite not being originally from the capital. <a href=""https://www.last.fm/music/Izal"">Read more on Last.fm</a>",2990503,64907
Justin Bieber,Latin (Origen: pop),Canción,Somebody To Love,2010,3rLIv187BhjyweFe89SgLn,3BmcYMh0KYsimWL6p2gPa9,My World 2.0,2010,Justin Bieber,"Justin Drew Bieber (born March 1, 1994 in London, Ontario, Canada) is a Grammy Award winning Canadian pop singer, songwriter, and multi-instrumentalist. Bieber was discovered in 2008 by American talent manager Scooter Braun, who came across Bieber's videos on YouTube and later became his manager. Braun arranged for him to meet with entertainer Usher Raymond in Atlanta, Georgia. Bieber was signed to Raymond Braun Media Group (RBMG), and then to an Island Records recording contract offered by record executive L.A. Reid. <a href=""https://www.last.fm/music/Justin+Bieber"">Read more on Last.fm</a>",293182970,4558491,"Justin Drew Bieber (born March 1, 1994 in London, Ontario, Canada) is a Grammy Award winning Canadian pop singer, songwriter, and multi-instrumentalist. Bieber was discovered in 2008 by American talent manager Scooter Braun, who came across Bieber's videos on YouTube and later became his manager. Braun arranged for him to meet with entertainer Usher Raymond in Atlanta, Georgia. Bieber was signed to Raymond Braun Media Group (RBMG), and then to an Island Records recording contract offered by record executive L.A. Reid. <a href=""https://www.last.fm/music/Justin+Bieber"">Read more on Last.fm</a>",294192425,4567579
Fondo Flamenco,Latin (Origen: pop),Canción,El Misterio,2010,6IbuOIQOkrSQKJAvQo07f3,4HVUiAzlHzt20UHnjzOPq4,"Paren el Mundo, Que Me Bajo",2010,Fondo Flamenco,"Fonco Flamenco is a group from Sevilla, Spain composed by Astola, Antonio and Rafael. The group started with Astola and Rafael at their early age of 13. Antonio came later on. Astola writes and composes the songs for the group. He is also the one credited for the idea of naming the group Fondo Flamenco. The name came as result of a comment that he made to Rafael while they were taking pictures of themselves in a tipical sevillian courtyard and he told Rafael ""Let's take a picture of us with this flamenco backgroung (fondo flamenco)"". <a href=""https://www.last.fm/music/Fondo+Flamenco"">Read more on Last.fm</a>",807822,61351,"Fonco Flamenco is a group from Sevilla, Spain composed by Astola, Antonio and Rafael. The group started with Astola and Rafael at their early age of 13. Antonio came later on. Astola writes and composes the songs for the group. He is also the one credited for the idea of naming the group Fondo Flamenco. The name came as result of a comment that he made to Rafael while they were taking pictures of themselves in a tipical sevillian courtyard and he told Rafael ""Let's take a picture of us with this flamenco backgroung (fondo flamenco)"". <a href=""https://www.last.fm/music/Fondo+Flamenco"">Read more on Last.fm</a>",809154,61437
