Artista,Genero,Origen_busqueda,Cancion,Year,ID_Spotify,ID_Album,Popularidad,Biografia_Resumen,Listeners_LastFM,Playcount_LastFM,Artistas_Similares
Bryce Janey,funk,funk,Funky Guitar Blues,2010,2dqkDzJPwSIduZlKJh0lvB,1ULW18kqQ47Qp3YUATkvFQ,42,"Bryce Janey began his career at age thirteen in a blues trio called “The Janeys.” His mother on drums and his father BillyLee on guitar. The Janey’s played regionally and nationally from Chicago to Los Angeles. Between 1991 and 1993 they performed with over 50 national acts including. 
After the Janey’s achieved some regional success, Bryce began a solo career and released his first CD in 1995. He has released three additional CD’s since 1996.",25748,142353,"Tony Spinner, Philip Sayce Group, Jason Elmore & Hoodoo Witch, Henrik Freischlader Trio, Shannon Curfman"
Funky Bijou,funk,funk,Funky Bijou Anthem,2010,3vqJENUjIAwBiWs5zVLWha,4ieRodIyGcBr9uU20D2MQU,35,,8626,56316,"Atomic Project, A.Skillz, Dj Lean Rock, Illag, Sekret Chadow"
Kasír,funk,funk,The Funky Spider,2010,5LXgUQ5VRmm7PsVBTnQyOn,6tZRWMS69RdXXvcuSC0ILj,34,"Kasír are a young Danish trio, who play Irish folk music, both traditional tunes, and their own compositions. Composes of, Oisín Walsh, (1987), bodhrán, Rune Cygan Barslund, (1988), accordion and whistles and Aske Fuglsang Ruhe, (1989), guitar, mandolin and octave mandolin.",11027,66571,"The Outside Track, Pádraig Rynne, John McSherry, Goitse, Ciaran Tourish"
La Discothèque,funk,funk,Funkytown,2010,3fehLpIWjlE3YnTXRkqPN1,6CXNfnJUwEHFYUaiUNmeby,34,,4609,14002,"The Disco Orchestra, The Disco Brothers, Toni Lo, Bobby Farrell, Lou Sern"
Tom Browne,funk,funk,Funkin' for Jamaica,2010,1es1B258zAVeXx6uzksrJd,34psLr9vLAgw49ehAgo6SJ,28,"Tom Browne (born October 30, 1954, Queens, New York), commonly referred to as ""Mr. Jamaica Funk"", is a jazz trumpeter who rose to prominence first through his early work with Sonny Fortune and for his #1 charting 1980 single ""Funkin' For Jamaica (N.Y)"" and notable dance tracks like ""Thighs High"". 

Browne originally played piano, having taken lessons from the age of 11. Turning to the trumpet, inspired by his collection of jazz albums, his first gig was in a Queens club, The Village Door.",173816,828300,"Bobbi Humphrey, Loose Ends, Con Funk Shun, Ronnie Laws, Fatback Band"
The Funky Town,funk,funk,Funky Town - 80's Mix,2010,19fsi2eY2FehBaIWb6IQYT,7MlkH4VAR03h19qaTVMFjn,23,,1521,5346,"Sensation Ltd, The Matons, Jwl, Overwings, The Sharons"
Mr. Talkbox,funk,funk,Funkadelic Sound,2010,4Nh2oQHhRcVy16qYbRQ2Fw,0m5koUYDRGH9y53Kv9v9kV,26,,5806,31243,"Chesterfield People, We Are Leo, Dogg Master, 3for3, Winfree"
The Sequence,funk,funk,Funk You Up (12'' Version),2010,0IPMwsreFCYEYvzsvolNMf,5zxoU8Y4gWUyNcRLjknWky,23,"""The Sequence"" can refer to either a 1980's hip hop/funk group or a modern pop-rock band from southern California.

(1) The Sequence was an all-female old school hip hop/funk trio signed to the Sugar Hill label in the early 1980s. The group consisted of Cheryl (Cheryl The Pearl) Cook, Gwendolyn (Blondie) Chisolm, and lead singer/rapper Angie Stone, who subsequently became a member of Vertical Hold and later a solo artist.

(2) The Sequence consists of Travis Van Hoff (vocals), Jason Yata (Guitar), Brandon Dennis (Drums), and Kevin (Bass).",23294,138613,"The Sugarhill Gang, Kurtis Blow, Grandmaster Flash and The Furious Five, Afrika Bambaataa, Run-D.M.C."
Maxipaul,funk,funk,Funk (Klubbed Mix),2010,5unrlCzR2G5A2O3Mpiw6mS,1e6kxyfq7sQkg4naSIPEXm,7,,307,1209,"Head Horny's, dj miguel serna, Alfredo pareja, Ismael Lora, Head Horny's & DJ Miguel Serna"
The Jive Turkeys,funk,funk,Funky Brewster,2010,2OQierF1V3Cr1VRPuJ7p8U,1G8Wn22GUexwkJWWqbnusb,21,,8026,36293,"Jimmy Jules & The Nuclear Soul System, On the Spot Trio, Los Sospechos, Tee See Connection, The Grease Traps"
