Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Plan B,Reggaeton (Origen: reggaeton),Canción,Parisera (feat. De La Ghetto),2010,4rVeA8n8ui7neX4XUOJObT,4s9iYsrtBIvkZn5AEbUbl0,House of Pleasure,2010,Plan B,"There are several artists and bands with this name:

1) Plan B (real name Ben Drew, b. 1983) is a rapper from Forest Gate, London. From the age of 11 he attended Anglo European School in Ingatestone Essex, before transfering to Tom Hood, an inner-city comprehensive. He has described his character, in these school days, as ""a bit of a cunt"". He is signed to 679 Recordings, home to UK rap act The Streets. His unique sound is characterised by his use of acoustic beats and lyrics involving drugs, rape, murder and underage sex. <a href=""https://www.last.fm/music/Plan+B"">Read more on Last.fm</a>",28582724,1239647
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,Tu Olor,2010,4lwJGmQFcbUypQ8mkm8YlG,4mIV2lIQfHszWU28kvYtJ1,"Los Vaqueros, El Regreso",2010,Wisin & Yandel,"Wisin & Yandel is a Puerto Rican reggaeton duo, consisting of Llandel Veguilla Malavé Salazar (Yandel) and Juan Luis Morera Luna (Wisin). They started their career in 1995 and have been together ever since, winning several awards during that time.

Their biggest hits are ""Rakata"", ""Llamé Pa' Verte (Bailando Sexy)"", ""Pam Pam"", ""Sexy Movimiento"", ""Pegao"",""Síguelo"", ""Abusadora"", and ""Gracias a Tí"". Wisin & Yandel have collaborated with internationally known artists such as R. <a href=""https://www.last.fm/music/Wisin+&+Yandel"">Read more on Last.fm</a>",18427010,822265
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Te Deseo el Mal,2010,43hrb3UDtUdvVNQ5gSCsMI,6A6eSLDcS2r7qT9ZFYSJlL,El Príncipe [Ghost Edition],2010,Cosculluela,"Born in Humacao, Puerto Rico, Jose Cosculluela a.k.a Cosculluela discovered at a young age that his passion was music. He got into rap music at age 12, listening to cassettes from Vico C and singing his songs. After listening to the underground album Playero 37, he and his brother bought some recording equipment and he knew at that moment that the only thing he ever wanted to do was music. He started writing, recording and selling underground mixed cassettes in Humacao, meeting new friends and eventually formed the group KnockOut Trax. <a href=""https://www.last.fm/music/Cosculluela"">Read more on Last.fm</a>",4496894,290691
Farruko,Reggaeton (Origen: reggaeton),Canción,Su Hija Me Gusta,2010,5N1EdvOZKDKKIcwBcj3VmR,2FGhhlr2SX31pVXnrd13kq,El Talento del Bloque,2010,Farruko,"Farruko is a reggaeton and Latin pop singer from Puerto Rico. His given name is Carlos Efren Reyes, and he was born in Bayamon, Puerto Rico in 1991. At the age of 16, he began to post his songs under his stage name to MySpace. His first single, ""Sexo Fuera del Planeta,"" gained thousands of followers, and from there he explored the potential of other social media networks. Due to his massive success on the Internet, he came to the attention of Puerto Rican radio and music industry executives, who enlisted his vocal talents for other artists. <a href=""https://www.last.fm/music/Farruko"">Read more on Last.fm</a>",10376919,771829
Arcángel,Reggaeton (Origen: reggaeton),Canción,Mujer Maravillosa,2010,6mybRTRWrEecDQWVSdjRrU,1PdXhrWVHNmGBAAdlwtolW,Mujer Maravillosa,2010,Arcángel,"Austin Santos, conocido como Arcangel, nació en Nueva York el 23 de diciembre de 1985. Honrando su ascendencia puertorriqueño-dominicana, se trasladó a Puerto Rico en 1999 para dedicarse al reggaetón.

En 2007, Arcangel comenzó su carrera solo trabajando en un sencillo con DJ Nelson, considerado el padrino del reggaetón. La canción, “Chica Virtual”, apareció en el álbum de recopilación de Nelson “Flow La Discoteka 2” y se hizo popular en las radios urbanas. <a href=""https://www.last.fm/music/+noredirect/Arc%C3%A1ngel"">Read more on Last.fm</a>",12563652,404039
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,La Reunión De Los Vaqueros,2010,6LgGKcMoXvDtKgAp2znkKQ,4mIV2lIQfHszWU28kvYtJ1,"Los Vaqueros, El Regreso",2010,Wisin & Yandel,"Wisin & Yandel is a Puerto Rican reggaeton duo, consisting of Llandel Veguilla Malavé Salazar (Yandel) and Juan Luis Morera Luna (Wisin). They started their career in 1995 and have been together ever since, winning several awards during that time.

Their biggest hits are ""Rakata"", ""Llamé Pa' Verte (Bailando Sexy)"", ""Pam Pam"", ""Sexy Movimiento"", ""Pegao"",""Síguelo"", ""Abusadora"", and ""Gracias a Tí"". Wisin & Yandel have collaborated with internationally known artists such as R. <a href=""https://www.last.fm/music/Wisin+&+Yandel"">Read more on Last.fm</a>",18427010,822265
Nova y Jory,Reggaeton (Origen: reggaeton),Canción,Matador,2010,0oeCircKDZdw8MfzUWXShA,3Imsjaef7dNGbafsS2J9Ax,Matador,2010,Nova y Jory,"Nova & Jory, are a reggaeton duo. Nova, was born in Ponce, Puerto Rico and Jory was born in Carolina, Puerto Rico. They started their career in 2003, are currently signed to Millones Records. They are working on their debut album Mucha Calidad set to be released November 2010. 

Fernando L. González, known as “Nova” was born in Ponce, Puerto Rico, and raised in Santa Isabel and Peñuelas, Puerto Rico. Fernando Sierra, better known as “Jory” was born in Carolina, Puerto Rico, and raised in the Residencial Torres de Sabana. <a href=""https://www.last.fm/music/Nova+y+Jory"">Read more on Last.fm</a>",706586,71856
Don Omar,Reggaeton (Origen: reggaeton),Canción,Danza Kuduro,2010,6DXLO8LndZMVOHM0wNbpzg,3F41BssbVvfFnh6DdDODeO,Meet The Orphans,2010,Don Omar,"William Omar Landrón (born February 10, 1978 in Puerto Rico), better known as Don Omar, is a reggaeton singer. He is one of the most well known reggaeton artists in Latin America. His cross over success in the U.S. has given him more exposure to English speaking Reggaeton fans, making him one of the more recognizable faces of Reggaeton along with Daddy Yankee and Tego Calderón. Don Omar's popularity is currently rising and he recently appeared on MTV. <a href=""https://www.last.fm/music/Don+Omar"">Read more on Last.fm</a>",31333977,1700833
Makano,Reggaeton (Origen: reggaeton),Canción,Su Nombre en Mi Cuaderno,2010,5JS6b6Si538KTOoaXKTjC3,5HZ1zZVBzbTnKjIQH4GPSW,Sin Fronteras,2010,Makano,"Makano is a Panamanian reggaeton performer born on 1985 in
Panama City, Panama. His official name is Ernan Enrique Jiménez. He became especially know for his album ""Te Amo"", which was released in United States in November 18, 2008 and peaked at number 29 in the Billboard Top Latin Albums chart. <a href=""https://www.last.fm/music/Makano"">Read more on Last.fm</a>",608667,85599
J Alvarez,Reggaeton (Origen: reggaeton),Canción,Ponte Pa Mi,2010,4NCLHXgKBCuFAf6m20sFKj,2ouuoBa8BHjrwj68lftlaZ,El Movimiento: The Mixtape,2010,J Alvarez,"Javid David Alvarez Fernandez conocido en el mundo artistico como “J Alvarez”, nacio en Rio Piedras, Puerto Rico un 13 de Diciembre del 1983. Su inspiracion en la musica comenzo en el hip-hop en ingles, en grupos tales como ""A Tribe Called Quest"", “Q-Tip”, ""Busta Rhymes"", entre otros. Todavia no era ni adolecente cuando a los 12 años se atravio a coger un microfono y canto por primera vez en la escuela Luis Muñoz Marin frente a varios estudiantes y profesores. <a href=""https://www.last.fm/music/J+Alvarez"">Read more on Last.fm</a>",3260884,210328
