Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,Tu Olor,2010,4lwJGmQFcbUypQ8mkm8YlG,4mIV2lIQfHszWU28kvYtJ1,53
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,Zun Zun Rompiendo Caderas,2010,5aJshF6mtr7SsztEMhAvZv,4mIV2lIQfHszWU28kvYtJ1,50
Farruko,Reggaeton (Origen: reggaeton),Canción,Su Hija Me Gusta,2010,5N1EdvOZKDKKIcwBcj3VmR,2FGhhlr2SX31pVXnrd13kq,55
Plan B,Reggaeton (Origen: reggaeton),Canción,Parisera (feat. De La Ghetto),2010,4rVeA8n8ui7neX4XUOJObT,4s9iYsrtBIvkZn5AEbUbl0,51
Cosculluela,Reggaeton (Origen: reggaeton),Canción,Te Deseo el Mal,2010,43hrb3UDtUdvVNQ5gSCsMI,6A6eSLDcS2r7qT9ZFYSJlL,51
Don Omar,Reggaeton (Origen: reggaeton),Canción,Danza Kuduro,2010,2a1o6ZejUi8U3wzzOtCOYw,6mGDfbDErYIJsmSewvccWm,84
Nova y Jory,Reggaeton (Origen: reggaeton),Canción,Matador,2010,0oeCircKDZdw8MfzUWXShA,3Imsjaef7dNGbafsS2J9Ax,47
Arcángel,Reggaeton (Origen: reggaeton),Canción,Mujer Maravillosa,2010,6mybRTRWrEecDQWVSdjRrU,1PdXhrWVHNmGBAAdlwtolW,52
Don Omar,Reggaeton (Origen: reggaeton),Canción,Danza Kuduro,2010,6DXLO8LndZMVOHM0wNbpzg,3F41BssbVvfFnh6DdDODeO,77
Pitbull,Reggaeton (Origen: reggaeton),Canción,Maldito Alcohol (Pitbull vs. Afrojack),2010,7reHiS3FBFlnzNvHBEQHqg,5PeAAIMt9AD5Ph4Te8SbqS,50
Farruko,Reggaeton (Origen: reggaeton),Canción,Chulería en Pote,2010,1EMzpS9y1Sd0AxlhfgjK1d,2FGhhlr2SX31pVXnrd13kq,66
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,La Reunión De Los Vaqueros,2010,6LgGKcMoXvDtKgAp2znkKQ,4mIV2lIQfHszWU28kvYtJ1,57
Plan B,Reggaeton (Origen: reggaeton),Canción,La Nena de Papa (feat. Tito El Bambino),2010,5Iubf6xcfjBy4oU4eTXOg1,4s9iYsrtBIvkZn5AEbUbl0,57
Wisin & Yandel,Reggaeton (Origen: reggaeton),Canción,"Uy, Uy, Uy",2010,3E6j0riii265VL5BrCcFVv,78dvAMnh1D4Q1uytQVj7np,47
Zion,Reggaeton (Origen: reggaeton),Canción,Como Curar,2010,62AhexN6mMJiNwKcjmY4QZ,3jsGdxB4wVM7iT4w21fPtH,47
Dyland & Lenny,Reggaeton (Origen: reggaeton),Canción,Quiere Pa' Que Te Quieran,2010,7JXeiPr6I074dcQgTqQVXU,2XpLbDgssTyK3AmeQlfUL3,51
Raffa El Versatil,Reggaeton (Origen: reggaeton),Canción,Loba (fea. Ñengo Flow),2010,4Bw5RDr6d3GPogAYLZMMKv,0FShwBb8lPx5LcbcK60qaV,32
Dyland & Lenny,Reggaeton (Origen: reggaeton),Canción,Nadie Te Amará Como Yo (Remix) (feat. Zion & Arcángel),2010,1eoAytqST4MVGz4xdTDqPj,2XpLbDgssTyK3AmeQlfUL3,59
J Alvarez,Reggaeton (Origen: reggaeton),Canción,Ponte Pa Mi,2010,4NCLHXgKBCuFAf6m20sFKj,2ouuoBa8BHjrwj68lftlaZ,54
Makano,Reggaeton (Origen: reggaeton),Canción,Su Nombre en Mi Cuaderno,2010,5JS6b6Si538KTOoaXKTjC3,5HZ1zZVBzbTnKjIQH4GPSW,62
Plan B,Reggaeton (Origen: reggaeton),Canción,Es Un Secreto (Remasterizada 2024) - Remix,2010,2Xe3tkFYGFJyLk5yx00Dnf,5mbx1a51cItObVh9q6ujbK,61
Omega,Reggaeton (Origen: reggaeton),Canción,Si Te Vas / Que Tengo Que Hacer - Miami Paris Remix,2010,3PAYu9NkHiIZb6BAsYl2jH,3RvzRRL8f4VvShYRlFVYkd,40
